# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
SPG,2012-03-31,0.06142035382173727,0.13773141250329224,0.34554971347067753,0.12881155204949837,0.249627203254986,0.18506442719246474
XOM,2012-03-31,0.0046334899822910725,0.028842860727492203,0.20782470437095846,0.12977261356686143,0.20484085728495888,0.21723495256337724
AAL,2012-04-30,0.3517786045001532,0.21563993667450787,0.7272726421214786,0.6380059445302125,0.6717872720416171,0.6124031190120227
BBBY,2012-04-30,0.1507634490834353,-0.10930572720871568,-0.33443709376081243,0.5361679205154528,0.4593529812502842,0.683712109809335
F,2012-04-30,-0.09224064081886563,-0.0878555721555242,-0.05222546469144684,0.24901314919937975,0.306012990792543,0.3935274464142101
GE,2012-04-30,-0.024414557431075234,0.055755225773365336,0.15622338540012248,0.18006723717526885,0.23908939001053617,0.27554015290406103
INTC,2012-04-30,0.009957041678918532,0.08353321805098446,0.15617461590266313,0.15344832927026392,0.23768557227295498,0.18855307652875128
PFE,2012-04-30,0.011037421627232424,0.08120893818504249,0.17915027987267518,0.12514474001272025,0.17580122989533126,0.21465175296554256
SPG,2012-04-30,0.06809455938811437,0.1533081155939502,0.2212046278372506,0.1453769982227957,0.19614970968363785,0.18506442719246474
XOM,2012-04-30,-0.004497132152197381,0.03669138958872953,0.07179426182919979,0.1439628306228036,0.18939018198026542,0.20814411461644278
AAL,2012-05-31,0.28849895192252717,0.7326340455213243,1.8008477268910892,0.612132571381189,0.6637315418385433,0.5628414140603389
BBBY,2012-05-31,0.015267160568028793,0.08837969722636085,-0.19491526500022283,0.5502390500361767,0.4586194791493455,0.683712109809335
F,2012-05-31,-0.048648942395000616,-0.1662175828761221,0.00446604322768418,0.23586965512203162,0.28108059992127465,0.3392100244631923
GE,2012-05-31,-0.034395139498259564,0.006325788717445491,0.2222330076045702,0.19688171058884357,0.21498459340764467,0.23156051232538635
INTC,2012-05-31,-0.1080430458471432,-0.03316095976722855,0.05320332058333577,0.17408917173806207,0.2095317644825993,0.16584798574598958
PFE,2012-05-31,-0.0252987352802585,0.031608010455290714,0.11191545109398815,0.124433382245593,0.13909032912669575,0.19782267168068957
SPG,2012-05-31,-0.054199108130600915,0.08183032077798313,0.20450683243977452,0.17730700036097036,0.17836391213753455,0.18506442719246474
XOM,2012-05-31,-0.08153525236160497,-0.08291830986261661,-0.010380485175228826,0.14292957142067397,0.160952323500534,0.19644102751876685
AAL,2012-06-30,0.054588620574713476,0.7844712151242814,1.629191093637954,0.6562701488087799,0.6610239859486379,0.5525728162920025
BBBY,2012-06-30,0.05981593061756052,0.2988721098582583,-0.11862248559635535,0.4457579066602759,0.46907359347883687,0.683712109809335
F,2012-06-30,-0.05237170912300371,-0.2368057114517138,-0.10136495211406371,0.26718466454366024,0.26544609057792584,0.33640205858032607
GE,2012-06-30,0.13681476153590788,0.05277474847818264,0.18721236659541884,0.23187767982491508,0.19573616675806763,0.23156051232538635
